Stock Index,Index,Industry,VWAP,General Index,NAV,P/E Ratio,Volumes Traded,Inventory Turnover,Covid Impact (Beta),Tracking Error,Dollar Exchange Rate,Put-Call Ratio,P/B Ratio,Stock Price
AB427,JSE,Healthcare,59.75,55722,52.26,130.5,9962389,5.41,0.78,0.0194,17.7,0.89,1.11,669.5246304
AB428,S&P 500,Materials,262.89,3351.28,60.73,171,18567529,7.7,0.03,0.0544,1,1.06,4.09,1022.137943
AB429,NYSE,Energy,876.42,12765.84,74.54,132.82,4596438,8.18,0.11,0.017,1,1.28,6.39,988.4667282
AB430,S&P 500,Energy,58.28,3351.28,41.65,181.31,3050627,5.63,0.11,0.0265,1,1.14,6.13,737.5814106
AB431,NYSE,Healthcare,573.05,12765.84,35.98,32.17,5692553,4.64,0.78,0.0257,1,1.1,1.74,115.1072895
AB432,BSE,Materials,281.2,38182.08,91.11,170.1,19984642,5.86,0.03,0.0491,74.9,0.66,6.78,1533.549077
AB433,BSE,Energy,923.39,38182.08,88.74,35.27,8810539,7.16,0.11,0.0476,74.9,0.95,0.82,324.4190762
AB434,NYSE,Real Estate,961.62,12765.84,52.8,141.52,19355162,6.23,-0.43,0.0246,1,1.14,9.08,751.4691133
AB435,BSE,Energy,655.39,38182.08,10.89,140.03,9668291,5.1,0.11,0.0271,74.9,0.75,5.05,142.7969377
AB436,S&P 500,Energy,155.82,3351.28,10.92,141.71,5957959,7.16,0.11,0.0288,1,1.12,1.32,141.6481693
AB437,BSE,Energy,538.94,38182.08,72.56,61.59,4180978,4.13,0.11,0.03,74.9,0.8,1.6,442.8381021
AB438,NSE,Healthcare,514.1,11270.15,77.82,68.24,5668722,4.21,0.78,0.0559,74.9,1.29,1.38,526.1890237
AB439,BSE,Information Tech,948.6,38182.08,11.52,67.52,19362627,3.01,0.23,0.059,74.9,1.22,4.21,88.41186161
AB440,NSE,Healthcare,897.92,11270.15,79.2,183.03,19663531,7.67,0.78,0.0505,74.9,1.03,4.37,1444.560066
AB441,NYSE,Real Estate,301.36,12765.84,67.37,83.3,3631897,4.25,-0.43,0.0512,1,1.22,0.95,553.5968089
AB442,BSE,Materials,748.71,38182.08,79.78,32.5,1368157,6.37,0.03,0.04,74.9,0.63,0.54,261.9887103
AB443,NSE,Energy,255.05,11270.15,24.88,173.11,17500409,4.57,0.11,0.0291,74.9,0.97,3.82,414.339818
AB444,NYSE,Energy,485,12765.84,96.39,134.34,19357667,6.72,0.11,0.0444,1,1.1,0.68,1283.126255
AB445,NSE,Healthcare,601.02,11270.15,39.01,37.93,3663231,7.12,0.78,0.0473,74.9,0.89,5.27,147.1218448
AB446,S&P 500,Real Estate,797.66,3351.28,37.65,123.95,2927738,4.41,-0.43,0.0281,1,0.66,4.14,462.0841276
AB447,NYSE,Healthcare,694.68,12765.84,43.16,191.97,12352579,2.99,0.78,0.0269,1,0.9,7.23,814.1686264
AB448,BSE,Energy,378.07,38182.08,32.29,26.97,8550968,3.26,0.11,0.0303,74.9,1.12,5.36,85.40801681
AB449,NYSE,Energy,564.45,12765.84,68.35,59.64,7440250,6.26,0.11,0.0413,1,0.95,6.82,404.0490719
AB450,NYSE,Materials,410.11,12765.84,67.21,191.1,1850594,5.14,0.03,0.0302,1,0.89,3.83,1266.540214
AB451,BSE,Healthcare,134.89,38182.08,93.21,147.07,16559921,4.74,0.78,0.0571,74.9,1.12,5.45,1356.73022
AB452,JSE,Information Tech,197.42,55722,42.58,124.89,,,,,,,5.1,519.9552746
AB453,S&P 500,Healthcare,487.83,3351.28,43.81,34.88,3081758,6.1,0.78,0.0182,1,0.62,7.72,151.107613
AB454,NSE,Real Estate,683.49,11270.15,41.3,111.57,19026030,5.04,-0.43,0.0393,74.9,0.68,4.34,453.9674122
AB455,BSE,Real Estate,163.12,38182.08,28.33,75.57,10898488,2.95,-0.43,0.031,74.9,1.17,3.52,207.0655528
AB456,S&P 500,Healthcare,101.07,3351.28,53.86,102.01,15738231,7.11,0.78,0.0554,1,1.22,5.26,539.7988361
AB457,NSE,Information Tech,740,11270.15,62.29,194.43,6546955,5.06,0.23,0.0527,74.9,1.22,8.28,1197.489111
AB458,NSE,Materials,877.93,11270.15,36.39,65.2,10629032,7.39,0.03,0.0221,74.9,1.07,7.08,242.5485765
AB459,JSE,Materials,127.68,55722,28.52,138.08,2765656,3.76,0.03,0.0439,17.7,1.08,6.43,380.6328382
AB460,NYSE,Healthcare,271,12765.84,69.52,48.87,14301916,8.03,0.78,0.0213,1,0.84,4.9,335.6513937
AB461,NYSE,Materials,700.36,12765.84,60.74,183.42,940291,5.68,0.03,0.0463,1,0.67,0.75,1100.517565
AB462,NSE,Information Tech,474.17,11270.15,13.88,102.19,13816027,7.22,0.23,0.0495,74.9,0.91,6.17,133.5099545
AB463,NYSE,Real Estate,385.93,12765.84,66.05,160.81,13913280,6.93,-0.43,0.053,1,1.14,8.38,1047.149331
AB464,NSE,Real Estate,521.12,11270.15,41.13,56.25,11264674,5.22,-0.43,0.0516,74.9,1.23,7.18,227.6215443
AB465,BSE,Materials,869.23,38182.08,40.49,33.67,7204521,4.9,0.03,0.0522,74.9,1.14,7.81,144.1859327
AB466,JSE,Healthcare,358.71,55722,29.52,170.19,1232653,6.74,0.78,0.0321,17.7,1,1.98,486.6805095
AB467,NSE,Materials,632.74,11270.15,26.59,104.15,13335246,5.69,0.03,0.0308,74.9,0.86,4.06,269.98207
AB468,NYSE,Materials,773.28,12765.84,93.3,49.99,8319443,6.51,0.03,0.0243,1,0.77,6.49,468.1947058
AB469,BSE,Energy,69.77,38182.08,46.5,57.62,16302256,3.64,0.11,0.0354,74.9,0.97,2.35,262.5906807
AB470,BSE,Materials,130.15,38182.08,85.97,130.09,10152516,7.52,0.03,0.057,74.9,0.73,3.62,1105.866027
AB471,BSE,Real Estate,281.61,38182.08,95.44,73.93,2584186,3.77,-0.43,0.0553,74.9,0.64,2.97,698.8693681
AB472,NSE,Materials,247.86,11270.15,56.97,66.52,12440398,3.91,0.03,0.0213,74.9,1,1.65,372.9554658
AB473,NSE,Energy,665.83,,,92,7563860,5.94,0.11,,74.9,1.25,6.55,675.2410515
AB474,JSE,Energy,484.82,55722,18.2,186.9,18496046,6.06,0.11,0.031,17.7,0.87,8.11,323.5697198
AB475,JSE,Information Tech,327.45,55722,61.14,32.28,13938795,4.08,0.23,0.0382,17.7,0.93,4.94,194.9748634
AB476,JSE,Information Tech,636.3,55722,52.88,68,5145531,7.07,0.23,0.0437,17.7,1.27,6.91,356.1750742
AB477,JSE,Energy,442.04,55722,41.88,119.95,5290146,2.66,0.11,0.0187,17.7,0.62,3.42,491.8156374
AB478,NSE,Healthcare,468.62,11270.15,90.56,46.99,658064,5.91,0.78,0.0262,74.9,0.69,6.77,422.4685582
AB479,NYSE,Information Tech,499.64,12765.84,69.83,75.64,4513398,5.09,0.23,0.0546,1,0.6,7.71,522.4323946
AB480,NSE,Energy,215.74,11270.15,48.7,133.08,7728457,6.8,0.11,0.0177,74.9,1.01,5.82,635.4594022
AB481,NSE,Energy,308.43,11270.15,17.29,66.98,9250366,2.97,0.11,0.0201,74.9,0.96,1.88,110.0427485
AB482,JSE,Materials,552.27,55722,54.36,66.54,5398316,6.21,0.03,0.0391,17.7,0.72,5.88,357.3192627
AB483,NYSE,Energy,217.72,12765.84,36.27,165.46,14649439,3.05,0.11,0.0183,1,0.65,8.98,584.3716483
AB484,JSE,Materials,469.03,55722,45.11,98.8,16136783,6.67,0.03,0.0253,17.7,1.15,1.78,437.3787284
AB485,S&P 500,Real Estate,447.36,3351.28,89.02,199.66,4453135,6.01,-0.43,0.0326,1,1.02,9.16,1758.80539
AB486,BSE,Real Estate,54.28,38182.08,72.21,148.61,6927083,7.91,-0.43,0.051,74.9,0.95,7.58,1058.657212
AB487,NYSE,Materials,292.56,12765.84,67.29,195.39,19698457,4.22,0.03,0.0174,1,0.9,7.99,1296.082246
AB488,NYSE,Healthcare,632.28,12765.84,72.67,58.01,7290921,7.66,0.78,0.0258,1,1.16,5.63,419.1590544
AB489,NYSE,Information Tech,555.79,12765.84,28.25,21.92,8693105,5.14,0.23,0.0181,1,0.61,4.54,62.03474235
AB490,BSE,Energy,708.66,38182.08,75.31,197.91,5959562,3.61,0.11,0.0369,74.9,0.93,1.32,1475.625338
AB491,BSE,Real Estate,273.77,38182.08,47.55,32.61,10316014,5.36,-0.43,0.0276,74.9,0.68,3.44,152.4504398
AB492,JSE,Healthcare,769.58,55722,73.08,184.54,950519,4.01,0.78,0.0404,17.7,1.24,5.65,1337.007326
AB493,JSE,Healthcare,477.1,55722,38.59,18.56,4412783,3.73,0.78,0.0473,17.7,1.21,5.93,71.41606963
AB494,NSE,Materials,592.66,11270.15,80.33,176.21,10644176,5.98,0.03,0.0295,74.9,0.78,1.68,1400.653986
AB495,BSE,Energy,458.9,38182.08,31.96,75.59,10620584,5.01,0.11,0.0355,74.9,0.62,4.4,235.5696713
AB496,NSE,Real Estate,623.28,11270.15,45.21,199.1,18525253,4.32,-0.43,0.0263,74.9,0.87,1.53,883.5140996
AB497,JSE,Information Tech,881.53,55722,61.26,186.07,18089699,3.63,0.23,0.0584,17.7,0.91,1.47,1133.381358
AB498,JSE,Information Tech,850.77,55722,19.38,101.4,9620554,7.16,0.23,0.0566,17.7,1.27,1.51,196.7982888
AB499,BSE,Real Estate,743.48,38182.08,44.72,58.91,6585120,4.19,-0.43,0.0341,74.9,0.77,5.83,263.367303
AB500,JSE,Information Tech,168.47,55722,26.95,87.95,12373086,5.8,0.23,0.0178,17.7,0.77,5.83,228.8800595
AB501,NSE,Real Estate,796.06,11270.15,63.38,84.74,12286311,3.78,-0.43,0.0222,74.9,0.81,3.88,536.2465803
AB502,BSE,Information Tech,735.37,38182.08,32.73,180.52,1745965,6.69,0.23,0.0573,74.9,0.88,6.27,578.6258531
AB503,JSE,Healthcare,878.56,55722,26.54,84.31,842762,3.08,0.78,0.0442,17.7,1.11,0.88,227.3599865
AB504,BSE,Materials,214.2,38182.08,18.82,120,2772283,8.17,0.03,0.0343,74.9,0.8,1.84,214.6786905
AB505,JSE,Real Estate,34.83,55722,32.66,35.1,14807301,8.27,-0.43,0.0468,17.7,1.22,2.09,111.4613211
AB506,BSE,Information Tech,503.89,38182.08,66.68,37.53,3591618,6.05,0.23,0.0279,74.9,0.73,5.39,248.2910888
AB507,NYSE,Real Estate,370.44,12765.84,94.44,53.85,19772908,7,-0.43,0.0322,1,1.26,8.13,504.0881767
AB508,BSE,Healthcare,707.27,38182.08,89.41,44.82,19821992,4.4,0.78,0.0505,74.9,0.76,2.58,401.1817684
AB509,S&P 500,Real Estate,666.87,3351.28,10.09,165.03,12035366,5.14,-0.43,0.0587,1,1.12,8.23,154.6388826
AB510,JSE,Energy,66.52,55722,50.74,140.2,2991986,4.48,0.11,0.0269,17.7,0.79,7.62,697.8634049
AB511,NSE,Real Estate,345.34,11270.15,92.5,47.72,6918385,4.69,-0.43,0.0241,74.9,0.65,7.09,437.5020297
AB512,NYSE,Energy,416.31,12765.84,85.4,190.89,18965470,7.86,0.11,0.0444,1,0.99,3.59,1612.384456
AB513,BSE,Materials,893.79,38182.08,,199.33,18896928,4.4,0.03,0.0422,74.9,0.99,8.27,961.768509
AB514,BSE,Energy,544.27,38182.08,,117.44,1849485,6.65,0.11,0.0195,74.9,1.08,6.01,728.4453571
AB515,S&P 500,Information Tech,586.57,3351.28,,183.42,2020647,6.61,0.23,0.0209,1,1.29,2.32,812.4212506
AB516,JSE,Energy,913.79,55722,,55.46,633927,4.55,0.11,0.0569,17.7,1.24,5.92,183.4768981
AB517,BSE,Healthcare,101.15,38182.08,,11.2,20107381,6.09,0.78,0.0323,74.9,0.67,5.77,98.23788766
AB518,NSE,Healthcare,672.59,11270.15,,192.12,9069313,3.73,0.78,0.0532,74.9,1.02,4.73,655.6721062
AB519,S&P 500,Materials,738.74,3351.28,,45.65,12000607,7.94,0.03,0.0372,1,0.64,8.99,105.5983737
AB520,JSE,Information Tech,932.52,55722,,124.53,2321329,8.21,0.23,0.0397,17.7,0.75,6.91,687.2958412
AB521,BSE,Healthcare,497.31,38182.08,,124.13,9130705,6.62,0.78,0.0327,74.9,1.26,3.05,791.7168729
AB522,JSE,Materials,387.12,55722,,145.64,7262021,8.05,0.03,0.026,17.7,1.28,3.18,453.4428503
AB523,NYSE,Materials,464.48,12765.84,79.89,160.94,14752639,3.6,0.03,0.0175,1,0.75,2.31,1271.197461
AB524,JSE,Healthcare,603.42,55722,59.39,94.71,3521572,5.58,0.78,0.0204,17.7,1.16,6.19,556.0107699
AB525,BSE,Energy,307.57,38182.08,88.57,26.55,15960074,5.16,0.11,0.0189,74.9,0.9,7.65,233.2601104
AB526,NSE,Real Estate,224.05,11270.15,70.81,90.91,15956149,3.55,-0.43,0.0324,74.9,0.6,6.02,635.2339317
AB527,S&P 500,Information Tech,753.01,3351.28,73.61,56.37,7076607,6.84,0.23,0.0245,1,1.23,4.31,415.419882
AB528,NSE,Materials,412.4,11270.15,43.42,116.49,19358709,6.34,0.03,0.0215,74.9,1.19,8.42,495.4006506
AB529,S&P 500,Healthcare,572.05,3351.28,67.98,59.09,8077803,7.56,0.78,0.0521,1,1.17,3.8,398.3440032
AB530,NSE,Real Estate,455.98,11270.15,44.31,166.73,16619222,4.12,-0.43,0.0338,74.9,1.03,4.1,723.6348785
AB531,NSE,Healthcare,723.13,11270.15,70.91,171.64,12166254,4.38,0.78,0.0583,74.9,0.66,8.89,1205.392825
AB532,S&P 500,Materials,391.88,3351.28,44.57,119.78,3473413,5.95,0.03,0.0564,1,1.18,5.38,523.0406421
AB533,NYSE,Real Estate,922.24,12765.84,69.1,140.69,20085911,4.62,-0.43,0.0603,1,1.25,1.01,972.9999505
AB534,JSE,Materials,247.1,55722,57.29,80.69,8883658,6.12,0.03,0.0211,17.7,0.62,1.38,454.8638195
AB535,JSE,Information Tech,921.45,55722,89.99,151.15,10280058,3.2,0.23,0.0436,17.7,0.67,0.75,1359.970917
AB536,NYSE,Real Estate,897.26,12765.84,92.48,84.97,1750076,7.27,-0.43,0.0312,1,0.73,3.28,790.314034
AB537,JSE,Energy,404,55722,40.05,73.64,7670796,7.78,0.11,0.016,17.7,1.25,2.31,288.7501087
AB538,S&P 500,Information Tech,328.72,3351.28,43.33,105.78,2723785,7.61,0.23,0.054,1,0.7,4.74,448.7206656
AB539,S&P 500,Real Estate,802.42,3351.28,57.63,76.37,2384779,3.46,-0.43,0.0615,1,0.79,8.58,440.3904742
AB540,NYSE,Energy,365.66,12765.84,10.17,150.18,15499997,7.48,0.11,0.0181,1,1.15,3.76,139.358106
AB541,S&P 500,Healthcare,782.53,3351.28,58.63,98.24,8960072,7.37,0.78,0.0581,1,0.71,3.58,573.4472683
AB542,JSE,Information Tech,758.15,55722,14.87,19.28,16109975,5.3,0.23,0.0389,17.7,0.61,5.89,33.0837234
AB543,NYSE,Information Tech,622.13,12765.84,88.75,91.62,13653973,3.42,0.23,0.0242,1,1.17,7.79,807.1190131
AB544,BSE,Healthcare,384.61,38182.08,43.57,40.12,12366896,3.18,0.78,0.0359,74.9,0.82,9.01,171.9710302
AB545,S&P 500,Healthcare,598.74,3351.28,19.66,132.04,16374272,7.46,0.78,0.0169,1,0.71,2.44,249.5890413
AB546,BSE,Energy,368.39,38182.08,88.41,137.89,13408199,7.73,0.11,0.0518,74.9,0.85,6.12,1206.328089
AB547,NYSE,Information Tech,944.55,12765.84,35.68,25.16,13959612,5.23,0.23,0.0332,1,1.2,7.34,104.0147207
AB548,JSE,Energy,399.62,55722,65.77,176.45,3391242,3.85,0.11,0.0574,17.7,0.61,5.18,1144.101937
AB549,BSE,Energy,802.39,38182.08,41.15,155.01,11577884,5.48,0.11,0.0271,74.9,1.17,4.28,630.413314
AB550,NSE,Energy,203.94,11270.15,45.24,55.72,16741398,7.81,0.11,0.0292,74.9,0.61,1.25,247.0852419
AB551,S&P 500,Information Tech,234.82,3351.28,55.18,55.9,5283444,5.61,0.23,0.0244,1,0.9,0.66,303.4990613
AB552,JSE,Real Estate,34.94,55722,38.54,153.99,8036378,5.62,-0.43,0.0284,17.7,0.89,3.59,578.5664653
AB553,NYSE,Healthcare,174.15,12765.84,37.61,181.08,710962,2.94,0.78,0.037,1,0.97,0.54,663.7472092
AB554,BSE,Information Tech,509.04,38182.08,12.25,40.94,10951725,3.71,0.23,0.057,74.9,0.97,5.73,48.01536787
AB555,BSE,Healthcare,87.12,38182.08,32.26,120.09,18036933,4.28,0.78,0.0159,74.9,0.86,9.43,376.0771297
AB556,NYSE,Materials,349.25,12765.84,65.87,148.79,4493387,4.15,0.03,0.0197,1,0.66,5.89,966.198636
AB557,NYSE,Materials,431.86,12765.84,93.72,17.47,2724515,5.43,0.03,0.0336,1,1.2,4.52,163.2184042
AB558,S&P 500,Information Tech,360.68,3351.28,50.98,112.96,19666732,2.86,0.23,0.0274,1,0.75,2.08,565.6187383
AB559,NSE,Healthcare,146.67,11270.15,73.43,179.41,1551509,2.86,0.78,0.0379,74.9,0.94,2.37,1300.12885
AB560,BSE,Healthcare,504.91,38182.08,93.2,100.57,7430958,6.23,0.78,0.059,74.9,0.6,9.16,929.1976937
AB561,JSE,Healthcare,39.84,55722,81.22,197.21,11233226,4.78,0.78,0.0214,17.7,1.19,8.69,1582.565394
AB562,S&P 500,Materials,341.3,3351.28,88.47,24.01,2594118,4.13,0.03,0.0259,1,1,5.6,210.8650352
AB563,BSE,Materials,724.24,38182.08,86.35,103.86,929232,7,0.03,0.0229,74.9,0.98,0.95,891.7263568
AB564,NSE,Materials,359.57,11270.15,25.23,131.65,18067873,7.18,0.03,0.0471,74.9,0.74,7.53,320.1674644
AB565,NSE,Energy,721.68,11270.15,28.06,121.38,10726990,4.13,0.11,0.0534,74.9,0.8,9.52,333.8479285
AB566,BSE,Energy,546.64,38182.08,96.7,140.51,6158660,6.91,0.11,0.0556,74.9,1.21,0.75,1346.884302
AB567,BSE,Healthcare,563.63,38182.08,92.04,97.54,6539806,3.46,0.78,0.0532,74.9,0.6,9.16,890.5183012
AB568,BSE,Healthcare,325.15,38182.08,93.33,123.4,9551315,2.85,0.78,0.0374,74.9,1.1,9.43,1140.306867
AB569,JSE,Materials,666.6,55722,20.75,105.73,7850812,4.46,0.03,0.0435,17.7,1.05,8.58,212.9407595
AB570,JSE,Real Estate,823.46,55722,41.11,139.29,1654897,8.27,-0.43,0.0614,17.7,0.6,4.17,567.6249636
AB571,JSE,Energy,421.34,55722,97.91,98.15,6713005,3.57,0.11,0.057,17.7,0.79,8.07,952.4262646
AB572,BSE,Real Estate,325.64,38182.08,15.72,154.06,17811090,6.34,-0.43,0.0604,74.9,1.13,3.46,227.9984254
AB573,JSE,Materials,127.03,55722,19.19,47.66,14798741,6,0.03,0.0578,17.7,0.86,2.95,87.22172241
AB574,BSE,Materials,825.89,38182.08,93.12,139.01,12723656,7.05,0.03,0.0165,74.9,0.74,7.22,1289.551044
AB575,NSE,Energy,199.99,11270.15,28.83,119.56,7477905,8.11,0.11,0.0329,74.9,0.86,3.56,333.452159
AB576,NYSE,Information Tech,288.27,12765.84,25.73,148.43,7682089,8.2,0.23,0.0375,1,0.63,9.49,368.0886831
AB577,BSE,Materials,833.74,38182.08,63.45,167.97,9466971,4.43,0.03,0.02,74.9,1.08,8.21,1058.371736
AB578,NSE,Energy,671.48,11270.15,23.91,16.08,10858530,7.21,0.11,0.0371,74.9,1.16,4.82,40.84941136
AB579,JSE,Healthcare,841.26,55722,30.61,116.67,15343446,7.68,0.78,0.0582,17.7,1.29,5.56,355.398612
AB580,NYSE,Information Tech,211.55,12765.84,49.87,186.9,18121880,5.53,0.23,0.0483,1,0.84,7.17,914.1179133
AB581,S&P 500,Energy,664.39,3351.28,63.56,39.95,15475355,5.98,0.11,0.0545,1,1.22,1.86,253.7972192
AB582,BSE,Healthcare,646.87,38182.08,35.17,88.28,19352515,7.62,0.78,0.0305,74.9,0.67,3.61,305.4114216
AB583,JSE,Real Estate,692.16,55722,66.45,55.67,11882633,2.7,-0.43,0.0223,17.7,0.71,2.16,368.7930678
AB584,BSE,Healthcare,327.69,38182.08,12.85,189.14,15349520,4.15,0.78,0.0554,74.9,1.14,6.59,225.7453271
AB585,NSE,Real Estate,309.97,11270.15,85.04,131.58,14267221,7.74,-0.43,0.0282,74.9,1.01,6.69,1106.574116
AB586,NSE,Information Tech,150.68,11270.15,41.01,61.04,8574987,3.78,0.23,0.0476,74.9,0.86,4.07,244.7525229
AB587,JSE,Energy,863.11,55722,25.43,92.46,16436240,3.02,0.11,0.0325,17.7,0.89,6.26,236.9097958
AB588,NSE,Healthcare,121.13,11270.15,65.34,77.09,10030598,4.29,0.78,0.0314,74.9,1.15,6.69,496.5566007
AB589,BSE,Healthcare,276.13,38182.08,57.31,148.45,1938314,5.71,0.78,0.0221,74.9,1.27,5.08,836.8009575
AB590,BSE,Information Tech,461.8,38182.08,43.14,153.41,19087567,7.85,0.23,0.0252,74.9,1.09,2.88,648.0838176
AB591,NSE,Healthcare,928.92,11270.15,70.16,34.27,7229710,8.24,0.78,0.0421,74.9,1.08,0.5,252.5286427
AB592,NYSE,Materials,815.16,12765.84,91.99,163.59,3647617,3.29,0.03,0.0506,1,1.17,1.08,1496.999306
AB593,S&P 500,Materials,427.49,3351.28,60.93,184.2,8051941,4.17,0.03,0.0356,1,1.28,5.72,1105.257541
AB594,NYSE,Information Tech,146.97,12765.84,66.1,126.6,4858193,6.48,0.23,0.0345,1,0.99,9.29,824.7094357
AB595,NSE,Real Estate,572.54,11270.15,35.93,167.25,16408493,7.11,-0.43,0.0386,74.9,0.6,1.78,586.8183524
AB596,NSE,Information Tech,343.55,11270.15,17.88,177.07,10584450,3.64,0.23,0.0366,74.9,1,9.27,300.2468057
AB597,NSE,Real Estate,942.8,11270.15,59.9,95.4,1974313,5.37,-0.43,0.0166,74.9,0.75,2.41,578.5148071
AB598,S&P 500,Materials,128.27,3351.28,27.93,162.96,2850196,3.42,0.03,0.025,1,1.16,6.1,439.533228
AB599,JSE,Real Estate,265.46,55722,70.21,47.72,6873275,6.29,-0.43,0.0471,17.7,0.79,4.48,330.8990754
AB600,NYSE,Real Estate,430.72,12765.84,90.74,18.71,14206373,2.81,-0.43,0.0424,1,0.86,6.3,169.1144025
AB601,NYSE,Information Tech,99.37,12765.84,50.08,93.59,12813840,7.33,0.23,0.0204,1,0.99,3.09,459.8298488
AB602,S&P 500,Healthcare,713.38,3351.28,37.91,162.89,9659950,3.4,0.78,0.0486,1,1.12,4.72,606.484587
AB603,S&P 500,Materials,74.12,3351.28,66.09,190,11476514,4.37,0.03,0.0454,1,0.84,4.06,1237.212222
AB604,NSE,Materials,727.05,11270.15,87.35,65.11,15897068,5.13,0.03,0.0293,74.9,0.71,7.74,567.5832468
AB605,BSE,Healthcare,655.74,38182.08,42.69,174.46,6569341,5.13,0.78,0.0416,74.9,1.08,1.1,731.3087596
AB606,S&P 500,Real Estate,691.2,3351.28,14.67,187.36,7959143,6.01,-0.43,0.0246,1,1.18,6.56,261.0962615
AB607,NYSE,Information Tech,769.64,12765.84,14.52,96.76,4197190,3.11,0.23,0.0484,1,1.14,0.89,137.7840671
AB608,NYSE,Energy,355.46,12765.84,95.08,11.31,19528009,6.84,0.11,0.0274,1,0.66,4.42,107.322153
AB609,NSE,Real Estate,744.98,11270.15,80.24,196.81,5748500,7.62,-0.43,0.0399,74.9,1.04,8.11,1565.419958
AB610,BSE,Real Estate,155,38182.08,10.48,165.57,15110447,7.72,-0.43,0.0263,74.9,0.86,8.95,158.1346143
AB611,S&P 500,Information Tech,438.4,3351.28,85.16,139.37,16909160,5.29,0.23,0.0406,1,0.77,3.14,1174.323184
AB612,NYSE,Materials,942.94,12765.84,61.85,100.63,1935532,5.17,0.03,0.0367,1,1.18,4.1,628.9807389
AB613,JSE,Information Tech,818.02,55722,65.85,136.24,14590724,3.24,0.23,0.0443,17.7,1.16,7.45,892.1652938
AB614,NSE,Real Estate,448.09,11270.15,70.36,109.21,6795807,7.02,-0.43,0.0548,74.9,0.72,9.1,758.8762373
AB615,JSE,Energy,42.04,55722,31.51,87.11,15695986,4.37,0.11,0.0254,17.7,0.87,9.18,266.2585352
AB616,BSE,Healthcare,489.05,38182.08,50.17,66.08,3123355,7.17,0.78,0.053,74.9,1.2,8.52,326.6891639
AB617,S&P 500,Real Estate,542.29,3351.28,15.64,168.9,16418300,6.27,-0.43,0.0174,1,1.22,7.14,249.824417
AB618,S&P 500,Materials,567.87,3351.28,46.2,30.43,591810,2.68,0.03,0.0524,1,0.79,0.67,139.9355955
AB619,NSE,Real Estate,31.12,11270.15,63.42,157.46,4162208,2.68,-0.43,0.0362,74.9,1.03,5.91,983.2704317
AB620,BSE,Materials,394.67,38182.08,17.78,129.15,6187761,4.05,0.03,0.0466,74.9,0.98,3.45,218.1186097
AB621,NSE,Real Estate,291.14,11270.15,25.7,68.32,18162515,3.47,-0.43,0.0284,74.9,0.68,4.9,169.5465114
AB622,BSE,Energy,559.23,38182.08,12.95,42.04,5062096,7.41,0.11,0.0445,74.9,0.98,3.65,52.66470474
AB623,BSE,Information Tech,21.31,38182.08,34.75,160.48,5537556,8,0.23,0.0417,74.9,1,7.78,542.1867813
AB624,S&P 500,Healthcare,521.58,3351.28,65.73,27.9,12179964,4.98,0.78,0.0317,1,0.89,6.58,182.620971
AB625,BSE,Energy,507.28,38182.08,13.92,123.62,16738023,5.7,0.11,0.0187,74.9,0.86,5.24,161.9226445
AB626,S&P 500,Energy,415.62,3351.28,82.3,99.08,9145982,6.34,0.11,0.0592,1,0.94,0.93,806.7385801
AB627,S&P 500,Information Tech,911.02,3351.28,68.11,188.58,5773566,5.67,0.23,0.0215,1,0.71,6.53,1279.719526
AB628,NYSE,Real Estate,309.02,12765.84,89.18,77.68,708597,3.85,-0.43,0.0471,1,0.67,3.02,685.7336861
AB629,JSE,Healthcare,470.3,55722,65.44,77.96,5617823,7.56,0.78,0.0381,17.7,1.28,5.04,504.0097986
AB630,NYSE,Healthcare,268.1,12765.84,22.14,194.74,19831288,5.1,0.78,0.058,1,1.13,1.69,412.8557695
AB631,NYSE,Energy,817.86,12765.84,55.93,195.59,3817791,5.22,0.11,0.0388,1,1.18,0.68,1083.084783
AB632,S&P 500,Materials,822.94,3351.28,65.18,150.29,16508101,4.1,0.03,0.0214,1,0.62,7.66,973.4660582
AB633,NYSE,Healthcare,223.69,12765.84,46.45,30.52,4720041,5.53,0.78,0.0397,1,1.04,1.64,139.398672
AB634,JSE,Materials,78.5,55722,65.08,22.9,20087108,6.09,0.03,0.0297,17.7,1.01,5.34,147.1160879
AB635,NYSE,Materials,855.34,12765.84,78.72,75.85,16965493,3.25,0.03,0.0507,1,1,1.48,599.9517609
AB636,NSE,Materials,545.08,11270.15,64.02,188.65,8025304,3.28,0.03,0.0393,74.9,0.87,7.61,1191.136857
AB637,JSE,Real Estate,281.69,55722,40.73,180.63,7367117,3.03,-0.43,0.0254,17.7,0.8,1.61,718.4900914
AB638,S&P 500,Real Estate,321.9,3351.28,48.77,188.21,15917854,3.26,-0.43,0.0458,1,0.99,5.09,900.0063496
AB639,NSE,Energy,606.5,11270.15,37.15,13.53,18162890,5.41,0.11,0.0604,74.9,1.27,7.89,51.77499096
AB640,NSE,Information Tech,707.45,11270.15,48.99,159.56,17888467,4.19,0.23,0.0536,74.9,1.09,4.62,770.6946437
AB641,JSE,Healthcare,179.37,55722,74.47,109.77,6391406,5.9,0.78,0.0571,17.7,0.83,7,807.1476738
AB642,NSE,Real Estate,392.83,11270.15,91.55,10.52,14195219,2.86,-0.43,0.0463,74.9,1.27,2.13,96.26049252
